Method,Recall@1,Recall@5,Recall@10,NDCG@10,MRR,Latency_ms
TF-IDF CF,0.00308,0.01278,0.025939999999999998,0.012270000000000001,0.00822,1.14
BM25,0.010700000000000001,0.03526,0.05542,0.02954,0.02173,1.51
BM25+ Enhanced,0.07305,0.13694,0.14448,0.11057,0.09942999999999999,1.57
Struct-Filter BM25,0.0739,0.14017,0.14841,0.11308,0.10148,1.42
GNN-Filter,0.00208,0.00901,0.01709,0.00801,0.0053300000000000005,1.08
TIGER Greedy,0.00154,0.00154,0.00154,0.00154,0.00154,2277.5
"Proposed Model
(Mô hình đề xuất)",0.024169999999999997,0.06127,0.07759,0.04874,0.039740000000000004,15703.0
Random Baseline,0.0,0.0,0.0,0.0,0.0,0.004
