Method,Recall@1,Recall@5,Recall@10,NDCG@10,MRR
TF-IDF CF,7.697636825494573e-05,0.000846740050804403,0.0013855746285890232,0.0005996199513317102,0.0003643242635621975
BM25,0.00046185820952967437,0.0013085982603340774,0.002232314679393426,0.0011673284965085038,0.0008483895444098662
BM25+ Enhanced,0.00030790547301978293,0.0010776691555692403,0.002001385574628589,0.0009769969584138185,0.0006741541457883541
Struct-Filter BM25,0.00046185820952967437,0.0013085982603340774,0.002232314679393426,0.0011673284965085038,0.0008483895444098662
GNN-Filter,7.697636825494573e-05,0.00046185820952967437,0.0013085982603340774,0.000537605778415347,0.0003155420174895196
TIGER Greedy,0.0007697636825494573,0.0007697636825494573,0.0007697636825494573,0.0007697636825494573,0.0007697636825494573
Proposed Hybrid (Model 1),0.013470864444615503,0.03225309829882226,0.03964282965129705,0.025537590018726523,0.021134472827952926
Proposed Model 2 (Ours),0.03494727118774536,0.09914556231237011,0.14494650142406282,0.0823832355722832,0.0633613258507416
