Method,Recall@1,Recall@5,Recall@10,NDCG@10,MRR
TF-IDF CF,0.0,0.00038488184127472865,0.0005388345777846201,0.00021690367211728336,0.00011888572430486062
BM25,0.00023092910476483718,0.00046185820952967437,0.0010006927873142946,0.0005208678135704567,0.0003814606693522866
BM25+ Enhanced,0.00038488184127472865,0.0006158109460395659,0.0010776691555692403,0.0006626676789910954,0.0005420113802840306
Struct-Filter BM25,0.00023092910476483718,0.00046185820952967437,0.0010006927873142946,0.0005208678135704567,0.0003814606693522866
GNN-Filter,0.0,0.00030790547301978293,0.000846740050804403,0.00030922633266265145,0.00015297525881776514
TIGER Greedy,0.00023092910476483718,0.00023092910476483718,0.00023092910476483718,0.00023092910476483718,0.00023092910476483718
Proposed Hybrid (Model 1),0.009237164190593488,0.02309291047648372,0.026633823416211223,0.017604492692276996,0.014729428065583866
Proposed Model 2 (Ours),0.029866830882918943,0.09183280732815026,0.14140558848433532,0.07701396608395265,0.05755083189460835
